date,open,high,low,close,volume,rsi,adx
2022-10-20T00:00:00.000Z,19123.35000000,19347.82000000,18900.00000000,19041.92000000,223530.13068000,0.00,0
2022-10-21T00:00:00.000Z,19041.92000000,19250.00000000,18650.00000000,19164.37000000,269310.75769000,100.00,0
2022-10-22T00:00:00.000Z,19164.37000000,19257.00000000,19112.72000000,19204.35000000,110403.90837000,100.00,0
2022-10-23T00:00:00.000Z,19204.29000000,19695.00000000,19070.11000000,19570.40000000,167057.20184000,100.00,0
2022-10-24T00:00:00.000Z,19570.40000000,19601.15000000,19157.00000000,19329.72000000,256168.14467000,68.71,0
2022-10-25T00:00:00.000Z,19330.60000000,20415.87000000,19237.00000000,20080.07000000,326370.67061000,84.16,0
2022-10-26T00:00:00.000Z,20079.02000000,21020.00000000,20050.41000000,20771.59000000,380492.69576000,89.11,0
2022-10-27T00:00:00.000Z,20771.61000000,20872.21000000,20200.00000000,20295.11000000,328643.57791000,73.32,0
2022-10-28T00:00:00.000Z,20295.11000000,20750.00000000,20000.09000000,20591.84000000,287039.94569000,75.97,0
2022-10-29T00:00:00.000Z,20591.84000000,21085.00000000,20554.01000000,20809.67000000,254881.77755000,77.60,0
2022-10-30T00:00:00.000Z,20809.68000000,20931.21000000,20515.00000000,20627.48000000,192795.60886000,73.43,0
2022-10-31T00:00:00.000Z,20627.48000000,20845.92000000,20237.95000000,20490.74000000,303567.61628000,70.57,0
2022-11-01T00:00:00.000Z,20490.74000000,20700.00000000,20330.74000000,20483.62000000,279932.43771000,70.43,0
2022-11-02T00:00:00.000Z,20482.81000000,20800.00000000,20048.04000000,20151.84000000,373716.27299000,64.38,0
2022-11-03T00:00:00.000Z,20151.84000000,20393.32000000,20031.24000000,20207.82000000,319185.15440000,64.89,0
2022-11-04T00:00:00.000Z,20207.12000000,21302.05000000,20180.96000000,21148.52000000,453694.39165000,70.96,37.35
2022-11-05T00:00:00.000Z,21148.52000000,21480.65000000,21080.65000000,21299.37000000,245621.98525000,71.62,44.84
2022-11-06T00:00:00.000Z,21299.37000000,21365.27000000,20886.13000000,20905.58000000,230036.97217000,63.70,40.41
2022-11-07T00:00:00.000Z,20905.58000000,21069.77000000,20384.89000000,20591.13000000,386977.60337000,62.75,33.28
2022-11-08T00:00:00.000Z,20590.67000000,20700.88000000,17166.83000000,18547.23000000,760705.36278300,37.72,20.49
2022-11-09T00:00:00.000Z,18545.38000000,18587.76000000,15588.00000000,15922.81000000,731926.92972900,20.34,36.94
2022-11-10T00:00:00.000Z,15922.68000000,18199.00000000,15754.26000000,17601.15000000,608448.36432000,35.63,44.70
2022-11-11T00:00:00.000Z,17602.45000000,17695.00000000,16361.60000000,17070.31000000,393552.86492000,31.68,29.64
2022-11-12T00:00:00.000Z,17069.98000000,17119.10000000,16631.39000000,16812.08000000,167819.96035000,29.29,47.45
2022-11-13T00:00:00.000Z,16813.16000000,16954.28000000,16229.00000000,16329.85000000,184960.78846000,28.40,47.55
2022-11-14T00:00:00.000Z,16331.78000000,17190.00000000,15815.21000000,16619.46000000,380210.77750000,30.84,46.83
2022-11-15T00:00:00.000Z,16617.72000000,17134.69000000,16527.72000000,16900.57000000,282461.84391000,32.73,30.30
2022-11-16T00:00:00.000Z,16900.57000000,17015.92000000,16378.61000000,16662.76000000,261493.40809000,33.03,31.50
2022-11-17T00:00:00.000Z,16661.61000000,16751.00000000,16410.74000000,16692.56000000,228038.97873000,32.86,30.06
2022-11-18T00:00:00.000Z,16692.56000000,17011.00000000,16546.04000000,16700.45000000,214224.18184000,26.15,30.34
2022-11-19T00:00:00.000Z,16699.43000000,16822.41000000,16553.53000000,16700.68000000,104963.15558000,24.93,51.89
2022-11-20T00:00:00.000Z,16700.68000000,16753.33000000,16180.00000000,16280.23000000,154842.13478000,24.86,51.52
2022-11-21T00:00:00.000Z,16279.50000000,16319.00000000,15476.00000000,15781.29000000,324096.99775300,24.37,52.62
2022-11-22T00:00:00.000Z,15781.29000000,16315.00000000,15616.63000000,16226.94000000,239548.06623000,35.10,46.03
2022-11-23T00:00:00.000Z,16227.96000000,16706.00000000,16160.20000000,16603.11000000,264927.70408000,56.14,1.52
2022-11-24T00:00:00.000Z,16603.11000000,16812.63000000,16458.05000000,16598.95000000,206565.92346000,37.03,14.59
2022-11-25T00:00:00.000Z,16599.55000000,16666.00000000,16342.81000000,16522.14000000,182089.49533000,41.96,3.51
2022-11-26T00:00:00.000Z,16521.35000000,16701.99000000,16385.00000000,16458.57000000,181804.81666000,44.50,14.88
2022-11-27T00:00:00.000Z,16457.61000000,16600.00000000,16401.00000000,16428.78000000,162025.47607000,51.79,17.14
2022-11-28T00:00:00.000Z,16428.77000000,16487.04000000,15995.27000000,16212.91000000,252695.40367000,42.44,13.14
2022-11-29T00:00:00.000Z,16212.18000000,16548.71000000,16100.00000000,16442.53000000,248106.25009000,41.31,6.40
2022-11-30T00:00:00.000Z,16442.91000000,17249.00000000,16428.30000000,17163.64000000,303019.80719000,58.03,9.41
2022-12-01T00:00:00.000Z,17165.53000000,17324.00000000,16855.01000000,16977.37000000,232818.18218000,54.35,31.43
2022-12-02T00:00:00.000Z,16978.00000000,17105.73000000,16787.85000000,17092.74000000,202372.20620000,55.80,19.40
2022-12-03T00:00:00.000Z,17092.13000000,17188.98000000,16858.74000000,16885.20000000,154542.57306000,52.57,28.69
2022-12-04T00:00:00.000Z,16885.20000000,17202.84000000,16878.25000000,17105.70000000,178619.13387000,62.17,32.13
2022-12-05T00:00:00.000Z,17106.65000000,17424.25000000,16867.00000000,16966.35000000,233703.29225000,69.54,54.60
2022-12-06T00:00:00.000Z,16966.35000000,17107.01000000,16906.37000000,17088.96000000,218730.76883000,65.91,34.30
2022-12-07T00:00:00.000Z,17088.96000000,17142.21000000,16678.83000000,16836.64000000,220657.41334000,54.52,17.97
2022-12-08T00:00:00.000Z,16836.64000000,17299.00000000,16733.49000000,17224.10000000,236417.97804000,60.53,7.71
2022-12-09T00:00:00.000Z,17224.10000000,17360.00000000,17058.21000000,17128.56000000,238422.06465000,60.15,29.27
2022-12-10T00:00:00.000Z,17128.56000000,17227.72000000,17092.00000000,17127.49000000,140573.97937000,61.44,20.20
2022-12-11T00:00:00.000Z,17127.49000000,17270.99000000,17071.00000000,17085.05000000,155286.47871000,61.17,26.00
2022-12-12T00:00:00.000Z,17085.05000000,17241.89000000,16871.85000000,17209.83000000,226227.49694000,67.51,31.22
2022-12-13T00:00:00.000Z,17208.93000000,18000.00000000,17080.14000000,17774.70000000,284462.91390000,70.94,34.56
2022-12-14T00:00:00.000Z,17775.82000000,18387.95000000,17660.94000000,17803.15000000,266681.22209000,62.85,41.50
2022-12-15T00:00:00.000Z,17804.01000000,17854.82000000,17275.51000000,17356.34000000,223701.96882000,56.89,1.16
2022-12-16T00:00:00.000Z,17356.96000000,17531.73000000,16527.32000000,16632.12000000,253379.04116000,43.14,2.93
2022-12-17T00:00:00.000Z,16631.50000000,16796.82000000,16579.85000000,16776.52000000,144825.66684000,48.35,27.07
2022-12-18T00:00:00.000Z,16777.54000000,16863.26000000,16663.07000000,16738.21000000,112619.31646000,44.10,24.63
2022-12-19T00:00:00.000Z,16739.00000000,16815.99000000,16256.30000000,16438.88000000,179094.28305000,41.94,25.69
2022-12-20T00:00:00.000Z,16438.88000000,17061.27000000,16397.20000000,16895.56000000,248808.92324000,47.32,12.76
2022-12-21T00:00:00.000Z,16896.15000000,16925.00000000,16723.00000000,16824.67000000,156810.96362000,49.83,2.31
2022-12-22T00:00:00.000Z,16824.68000000,16868.52000000,16559.85000000,16821.43000000,176044.27235000,43.38,5.47
2022-12-23T00:00:00.000Z,16821.90000000,16955.14000000,16731.13000000,16778.50000000,161612.00947000,44.14,10.28
2022-12-24T00:00:00.000Z,16778.52000000,16869.99000000,16776.62000000,16836.12000000,100224.29096000,45.22,9.00
2022-12-25T00:00:00.000Z,16835.73000000,16857.96000000,16721.00000000,16832.11000000,125441.07202000,45.79,9.33
2022-12-26T00:00:00.000Z,16832.11000000,16944.52000000,16791.00000000,16919.39000000,124564.00656000,45.11,6.28
2022-12-27T00:00:00.000Z,16919.39000000,16972.83000000,16592.37000000,16706.36000000,173749.58616000,29.59,13.28
2022-12-28T00:00:00.000Z,16706.06000000,16785.19000000,16465.33000000,16547.31000000,193037.56577000,27.15,42.89
2022-12-29T00:00:00.000Z,16547.32000000,16664.41000000,16488.91000000,16633.47000000,160998.47158000,34.86,32.91
2022-12-30T00:00:00.000Z,16633.47000000,16677.35000000,16333.00000000,16607.48000000,164916.31174000,49.27,22.26
2022-12-31T00:00:00.000Z,16607.48000000,16644.09000000,16470.00000000,16542.40000000,114490.42864000,42.73,29.14
2023-01-01T00:00:00.000Z,16541.77000000,16628.00000000,16499.01000000,16616.75000000,96925.41374000,46.31,26.36
2023-01-02T00:00:00.000Z,16617.17000000,16799.23000000,16548.70000000,16672.87000000,121888.57191000,58.34,33.31
2023-01-03T00:00:00.000Z,16672.78000000,16778.40000000,16605.28000000,16675.18000000,159541.53733000,38.38,28.99
